gene_idx,raw_train_pcc,direct_train_pcc,ridge_train_pcc,stack_train_pcc,decision
0,0.19897553324699402,0.2545427083969116,0.2079523652791977,0.23088058829307556,direct(broken_raw)
1,0.6087337136268616,0.6510974168777466,0.6448789834976196,0.6534134745597839,stack
2,0.1838470846414566,0.21064679324626923,0.19481678307056427,0.20538954436779022,stack
3,0.23621200025081635,0.29351216554641724,0.2611251473426819,0.27200832962989807,direct(broken_raw)
4,0.354917049407959,0.4189157485961914,0.3879539370536804,0.39849475026130676,direct(broken_raw)
5,0.3333412706851959,0.3459979295730591,0.31510645151138306,0.3379746973514557,stack
6,0.12277330458164215,0.13231775164604187,0.10940541326999664,0.13020847737789154,stack
7,0.23534534871578217,0.32506710290908813,0.29297345876693726,0.3126789927482605,direct(broken_raw)
8,0.2130131721496582,0.3020962178707123,0.2175189107656479,0.2590121924877167,direct(broken_raw)
9,0.42016735672950745,0.4678897559642792,0.4180625379085541,0.43495139479637146,stack
10,0.40397876501083374,0.438999205827713,0.4290260076522827,0.43675142526626587,stack
11,0.1592925786972046,0.19187265634536743,0.19937323033809662,0.20352518558502197,stack
12,0.19028083980083466,0.22914721071720123,0.23367612063884735,0.23889929056167603,stack
13,0.05689958855509758,0.0848722755908966,0.05559106543660164,0.06841475516557693,stack
14,0.5785495042800903,0.6701931357383728,0.506007194519043,0.5963426828384399,stack
15,0.5167399048805237,0.6334640383720398,0.463850736618042,0.534639298915863,stack
16,0.45998504757881165,0.538506269454956,0.3779173195362091,0.4693302810192108,stack
17,0.3682405948638916,0.5127500891685486,0.34678810834884644,0.3992498815059662,direct(broken_raw)
18,0.5408336520195007,0.6259427070617676,0.46796584129333496,0.5556076169013977,stack
19,0.5348883867263794,0.6226997375488281,0.44707146286964417,0.5467622876167297,stack
20,0.835701584815979,0.8584856390953064,0.817550003528595,0.8453893065452576,stack
21,0.785029947757721,0.8091264367103577,0.7765727043151855,0.7986592054367065,stack
22,0.03661278635263443,0.08072986453771591,0.07295691221952438,0.07559303194284439,stack
23,0.23733913898468018,0.2499973624944687,0.23303548991680145,0.24944373965263367,stack
