gene_idx,raw_train_pcc,direct_train_pcc,ridge_train_pcc,stack_train_pcc,decision
0,0.5735036134719849,0.6062958836555481,0.5626189112663269,0.5903798341751099,stack
1,0.4306451380252838,0.48744702339172363,0.4444256126880646,0.47638067603111267,stack
2,0.20761676132678986,0.2692171335220337,0.22268983721733093,0.24584849178791046,direct(broken_raw)
3,0.27915796637535095,0.29460927844047546,0.2867049276828766,0.29970061779022217,stack
4,0.35351109504699707,0.367242693901062,0.35801732540130615,0.36883020401000977,stack
5,0.47184306383132935,0.573899507522583,0.5083594918251038,0.5332410335540771,stack
6,0.3799020051956177,0.5764451622962952,0.5296562910079956,0.5450105667114258,direct(broken_raw)
7,0.408049613237381,0.4702298641204834,0.36001285910606384,0.41853299736976624,stack
8,-0.006058928556740284,0.07308122515678406,0.023277852684259415,0.023305831477046013,direct(broken_raw)
9,0.3878646492958069,0.4129212498664856,0.42294949293136597,0.4290693998336792,stack
10,0.17143556475639343,0.21903952956199646,0.1843041181564331,0.20110534131526947,stack
11,0.14686909317970276,0.16782256960868835,0.13645169138908386,0.15694205462932587,stack
12,0.2282845824956894,0.2748451232910156,0.20268815755844116,0.24380278587341309,stack
13,0.19467505812644958,0.2499663531780243,0.21950368583202362,0.24004726111888885,direct(broken_raw)
14,0.053811997175216675,0.07711207866668701,0.07343629002571106,0.08110406994819641,stack
15,0.20789821445941925,0.28109970688819885,0.22109416127204895,0.2521876096725464,direct(broken_raw)
16,0.6697649955749512,0.7067557573318481,0.7005252838134766,0.7131242752075195,stack
17,-0.009069706313312054,0.042401447892189026,0.011319573037326336,0.013051148504018784,direct(broken_raw)
18,0.16287873685359955,0.1747584491968155,0.16796277463436127,0.17646369338035583,stack
19,0.24235312640666962,0.31609657406806946,0.27003833651542664,0.29287591576576233,direct(broken_raw)
20,0.39882493019104004,0.47936293482780457,0.44151028990745544,0.46777063608169556,direct(broken_raw)
21,0.16330000758171082,0.2158641815185547,0.170497864484787,0.18540960550308228,direct(broken_raw)
22,0.5058002471923828,0.5288341641426086,0.5066478252410889,0.5238833427429199,stack
23,0.1910170018672943,0.23364201188087463,0.20786507427692413,0.23048445582389832,stack
