gene,PCC_slice1,PCC_slice2,mean_PCC
KRT15,0.5158327071165427,0.5611595889366052,0.538496148026574
CTTN,0.539142463188526,0.5340002561711984,0.5365713596798622
KRT6B,0.5055111034162506,0.5674238914502562,0.5364674974332534
SFRP1,0.5214681254473194,0.546984767523371,0.5342264464853452
AR,0.5164482836250072,0.5472248038234856,0.5318365437242464
IGF1,0.5177076100336953,0.5440690528937235,0.5308883314637094
SERPINA3,0.4995723797194221,0.5621096793069701,0.5308410295131961
IL2RG,0.525411977102337,0.5351077479411251,0.5302598625217311
MYLK,0.5286629520559685,0.5285309332366097,0.5285969426462891
SERHL2,0.5066485571880408,0.5471067823704517,0.5268776697792463
ELF3,0.500176155831218,0.5352487934004819,0.5177124746158499
PDGFRB,0.5031307893708032,0.5242490879655967,0.5136899386681999
PTGDS,0.525433179685436,0.4957871081078333,0.5106101438966346
CD4,0.49993680123135786,0.49021390458452596,0.4950753529079419
ADH1B,0.4784050879142063,0.498838215314241,0.48862165161422366
GPR183,0.4867288324326532,0.4848729406741773,0.48580088655341525
CAV1,0.4789174701280844,0.480541106974533,0.4797292885513087
PDGFRA,0.4735732901481806,0.47884662169791126,0.47620995592304594
TPD52,0.4628163914667266,0.48924219633189087,0.4760292938993087
MYH11,0.4833989160355838,0.4651481256343396,0.4742735208349617
S100A4,0.4723678314270804,0.46846317081527744,0.4704155011211789
PECAM1,0.4672320312427359,0.4667872041474503,0.4670096176950931
DST,0.4465266808645125,0.46893988493832856,0.45773328290142057
LYZ,0.45360369546787255,0.46143025921964526,0.4575169773437589
AQP1,0.45391753434840615,0.460634502410463,0.45727601837943455
KRT16,0.42406715342949064,0.48761265484845556,0.45583990413897313
ADIPOQ,0.4198099436216246,0.49138949708138663,0.45559972035150564
ACTA2,0.44955241756544656,0.4568457996673803,0.45319910861641344
CD93,0.4552185208036372,0.4509200002280632,0.4530692605158502
TCIM,0.4466966139444403,0.45277283555071984,0.4497347247475801
MMP12,0.3717416058934412,0.5254051196879075,0.44857336279067433
PDK4,0.4442061575810288,0.4433800746245526,0.4437931161027907
CLDN4,0.42221680230045366,0.46364317536019534,0.44292998883032453
AGR3,0.4151815245934339,0.4695894872429335,0.4423855059181837
VWF,0.4248945175271205,0.4557463223693727,0.44032041994824656
PTN,0.41916183106313915,0.458351189023931,0.4387565100435351
ENAH,0.4243650878608781,0.44028345027832694,0.43232426906960253
SELL,0.42280952825090923,0.439133961203954,0.4309717447274316
LDHB,0.44547957234928953,0.4145200183558667,0.42999979535257815
TRAF4,0.418509252816787,0.4399299395913457,0.42921959620406636
CLEC14A,0.4283670690435438,0.4249306116364151,0.42664884033997946
NARS,0.42238738958575806,0.42343351640294824,0.42291045299435315
KRT23,0.41920357422381616,0.4157702079425297,0.41748689108317294
TCF4,0.4211038460911732,0.4132905068658092,0.4171971764784912
RAMP2,0.4214332624058147,0.41255500367175724,0.41699413303878596
CD68,0.41346296823406314,0.41767104086536283,0.41556700454971296
KLRB1,0.4013588265503538,0.42027889949122293,0.4108188630207884
CD69,0.407154069774686,0.4097039076353031,0.40842898870499456
TFAP2A,0.3828253350351673,0.4335273522156119,0.40817634362538957
FLNB,0.38731452017791435,0.42425707993840994,0.4057858000581621
CCL5,0.39316337303955584,0.41460984385042515,0.40388660844499047
CD3D,0.39465004139334336,0.40163555139210055,0.398142796392722
FCER1G,0.39820466387143283,0.3969265626842549,0.3975656132778439
PRDM1,0.4008525802962141,0.39370577474550705,0.3972791775208606
AIF1,0.40233826438911424,0.3916113926470039,0.3969748285180591
ZEB1,0.39676073266854606,0.39713939187880026,0.39695006227367313
MMRN2,0.38683963319360865,0.40293842765838206,0.3948890304259953
SLAMF7,0.379383510777585,0.4097380062891422,0.3945607585333636
CRISPLD2,0.38592017625061603,0.4009439717204427,0.3934320739855294
ITM2C,0.37573748985130995,0.41077183603311546,0.3932546629422127
MZB1,0.37830820194969517,0.40239287773735855,0.39035053984352686
KLF5,0.35224543868868796,0.423568095413092,0.38790676705089
FGL2,0.38681335566371305,0.38295643716110195,0.38488489641240753
CD247,0.3808535685655981,0.3865740677667083,0.3837138181661532
DSC2,0.3508895787833733,0.4091991330597967,0.38004435592158503
CD3G,0.37564833810907117,0.3830098413175034,0.37932908971328727
LPL,0.33371540375090114,0.42102272132594504,0.37736906253842306
TENT5C,0.3651158282196464,0.3869710671704307,0.37604344769503856
CCDC6,0.37041488186028726,0.38025326563294387,0.37533407374661554
SMAP2,0.37093096282936594,0.36878160664660736,0.36985628473798665
SLC5A6,0.3518151414642522,0.3812033925913502,0.3665092670278012
LTB,0.36456751151568745,0.3655088461012172,0.36503817880845235
SMS,0.35034426296280163,0.379435950751752,0.36489010685727685
GJB2,0.3265677034481235,0.40298127943321616,0.36477449144066987
CCR7,0.37265033243400564,0.3551094667499305,0.3638798995919681
SH3YL1,0.3491455400217019,0.37705944534079394,0.36310249268124795
USP53,0.34956911702580995,0.36906267008208193,0.35931589355394594
LRRC15,0.3537899921233027,0.3644262952209761,0.3591081436721394
